method,cost_weight,stretch_opt_weight,stretch_avg_weight,length_weight,dist_thresh,adjusted_rand_index_mean,adjusted_rand_index_std,adjusted_rand_index_min,adjusted_rand_index_max,adjusted_mutual_info_mean,adjusted_mutual_info_std,adjusted_mutual_info_min,adjusted_mutual_info_max,homogeneity_mean,homogeneity_std,homogeneity_min,homogeneity_max,completeness_mean,completeness_std,completeness_min,completeness_max,v_measure_mean,v_measure_std,v_measure_min,v_measure_max,v_measure_perfect_count,pairwise_f1_mean,pairwise_f1_std,pairwise_f1_min,pairwise_f1_max,n_pieces_succeeded
ward,3.0,0.3,0.3,0.0,0.5,0.2539272727272728,0.3377396663751703,-0.0606,1.0,0.28346103896103897,0.3296132177071063,-0.1408,1.0,0.9061935064935066,0.19191133865899201,0.1844,1.0,0.34923116883116884,0.31546363293385915,0.0,1.0,0.41905324675324673,0.32154132677949954,0.0,1.0,9,0.4086597402597402,0.328617357028189,0.0,1.0,77
ward,0.3,0.3,0.0,0.0,0.5,0.21115584415584415,0.30298374629308733,-0.0288,1.0,0.2364038961038961,0.2918532047137798,-0.0846,1.0,0.9061766233766233,0.18720970594226147,0.1844,1.0,0.33000909090909086,0.29587208239057394,0.0,1.0,0.3979428571428571,0.29746924076654774,0.0,1.0,6,0.3544909090909091,0.32573752168615533,0.0,1.0,77
ward,1.0,1.0,0.0,0.0,0.5,0.21115584415584415,0.30298374629308733,-0.0288,1.0,0.2364038961038961,0.2918532047137798,-0.0846,1.0,0.9061766233766233,0.18720970594226147,0.1844,1.0,0.33000909090909086,0.29587208239057394,0.0,1.0,0.3979428571428571,0.29746924076654774,0.0,1.0,6,0.3544909090909091,0.32573752168615533,0.0,1.0,77
ward,3.0,0.0,0.3,0.0,0.5,0.2575974025974026,0.3441669101920979,-0.0606,1.0,0.2889493506493506,0.33416328795823586,-0.1263,1.0,0.9058454545454546,0.19407912802226904,0.1844,1.0,0.3517688311688312,0.31870552147415704,0.0,1.0,0.42153506493506493,0.3249475253406245,0.0,1.0,9,0.4081142857142857,0.32653461848423615,0.0,1.0,77
ward,3.0,1.0,0.7,0.0,0.5,0.24135844155844152,0.32249898755530165,-0.0552,1.0,0.27193116883116886,0.31445690112457003,-0.1127,1.0,0.9058103896103896,0.18899591666338353,0.1844,1.0,0.3475064935064935,0.3135482565389474,0.0,1.0,0.4133870129870129,0.31259064362307476,0.0,1.0,8,0.39694545454545455,0.32558891081081864,0.0,1.0,77
ward,2.0,0.7,0.0,0.0,0.5,0.2264662337662338,0.3129350065754245,-0.0552,1.0,0.25543766233766235,0.30500920873428916,-0.1408,1.0,0.9057454545454546,0.18996524052891614,0.1844,1.0,0.3374571428571429,0.30470099690338176,0.0,1.0,0.4055675324675324,0.3054664470028756,0.0,1.0,7,0.3780636363636363,0.32139822242661,0.0,1.0,77
ward,1.0,0.3,0.3,0.0,0.5,0.2437805194805195,0.3229506950583807,-0.0552,1.0,0.2735415584415584,0.31506844127662226,-0.1127,1.0,0.9048805194805196,0.1909958924144984,0.1844,1.0,0.3484649350649351,0.3134678793239475,0.0,1.0,0.41422077922077916,0.3128736093255227,0.0,1.0,8,0.399438961038961,0.32756764510311615,0.0,1.0,77
ward,2.0,0.7,0.3,0.0,0.5,0.2380974025974026,0.32454334030066495,-0.0552,1.0,0.26608571428571426,0.31692148632937,-0.1408,1.0,0.9045207792207792,0.1920521150440664,0.1844,1.0,0.34621818181818187,0.31292538330020037,0.0,1.0,0.41214285714285714,0.3117993541593286,0.0,1.0,8,0.39108441558441553,0.3313847079938827,0.0,1.0,77
ward,3.0,1.0,0.3,0.0,0.5,0.23720779220779223,0.3235289383737652,-0.0552,1.0,0.2665467532467532,0.3157862097712096,-0.1408,1.0,0.9045207792207792,0.1920521150440664,0.1844,1.0,0.3456545454545455,0.31296488477577716,0.0,1.0,0.4115662337662337,0.3116752687422532,0.0,1.0,8,0.39122207792207786,0.32821463741561563,0.0,1.0,77
ward,1.0,0.0,0.7,0.0,0.5,0.2675909090909091,0.3420304061754221,-0.0552,1.0,0.295838961038961,0.33507247991102723,-0.1408,1.0,0.9038987012987013,0.2061423115124985,0.1573,1.0,0.3618948051948052,0.3237933599890739,0.0,1.0,0.4247688311688312,0.3252016266711207,0.0,1.0,9,0.42726493506493496,0.3404305668537601,0.0,1.0,77
ward,3.0,0.7,0.7,0.0,0.5,0.2510987012987013,0.33315529567646746,-0.0552,1.0,0.2793766233766234,0.32500848176588754,-0.1408,1.0,0.9027714285714287,0.19600556568902855,0.1844,1.0,0.353174025974026,0.3215985310437624,0.0,1.0,0.41623896103896096,0.3182942692834114,0.0,1.0,9,0.40562597402597395,0.3316695509293273,0.0,1.0,77
ward,3.0,0.7,1.0,0.0,0.5,0.25142207792207794,0.3330625757762274,-0.0552,1.0,0.27988571428571424,0.3248271507246068,-0.1408,1.0,0.9026675324675326,0.1962751417870375,0.1844,1.0,0.3533896103896104,0.32159056593726165,0.0,1.0,0.4163168831168831,0.31828186250660695,0.0,1.0,9,0.4058038961038961,0.33180054853901975,0.0,1.0,77
ward,1.0,0.7,0.3,0.0,0.5,0.21284935064935068,0.2995642881908967,-0.0288,1.0,0.24043376623376628,0.29214182759623797,-0.0846,1.0,0.9024688311688311,0.1972340835247008,0.1573,1.0,0.33040649350649354,0.29380600470275076,0.0,1.0,0.3983103896103896,0.2978686508157735,0.0,1.0,6,0.3664571428571428,0.32289378955330883,0.0,1.0,77
